Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
463,Sadibou Sané,sn SEN,DF,Metz,21-314,2004,17.6,2,5,2,40,0.28,0.11,0.4,1,0,0,Matches
464,Arouna Sangante,sn SEN,DF,Le Havre,24-008,2002,23.8,1,9,5,55.6,0.38,0.21,0.11,0.2,0,0,Matches
465,Mamadou Sangare,ml MLI,MF,Lens,23-298,2002,22.8,3,43,11,25.6,1.89,0.48,0.07,0.27,0,0,Matches
466,Nhoa Sangui,fr FRA,DF,Paris FC,20-052,2006,16.3,0,4,1,25,0.25,0.06,0,0,0,0,Matches
467,Morgan Sanson,fr FRA,MF,Nice,31-245,1994,16.6,0,15,4,26.7,0.9,0.24,0,0,0,0,Matches
468,Tiago Santos,pt POR,DF,Lille,23-271,2002,7.8,0,8,0,0,1.02,0,0,,0,0,Matches
469,Bouna Sarr,sn SEN,"MF,DF",Metz,34-079,1992,5.9,0,8,3,37.5,1.35,0.5,0,0,0,0,Matches
470,Malang Sarr,fr FRA,DF,Lens,27-087,1999,28,0,20,5,25,0.71,0.18,0,0,0,0,Matches
471,Mamadou Sarr,sn SEN,DF,Strasbourg,20-234,2005,14.5,0,1,0,0,0.07,0,0,,0,0,Matches
472,Martin Satriano,uy URU,FW,Lyon,25-059,2001,7.7,2,16,7,43.8,2.08,0.91,0.13,0.29,0,0,Matches
473,Mario Sauer,sk SVK,MF,Toulouse,21-340,2004,7,1,13,3,23.1,1.86,0.43,0.08,0.33,0,0,Matches
474,Alidu Seidu,gh GHA,DF,Rennes,25-320,2000,11.5,0,5,1,20,0.44,0.09,0,0,0,0,Matches
475,Ayumu Seko,jp JPN,"MF,DF",Le Havre,25-317,2000,26.2,0,17,6,35.3,0.65,0.23,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
476,Marvin Senaya,gh GHA,"DF,MF",Auxerre,25-082,2001,18.8,1,15,5,33.3,0.8,0.27,0.07,0.2,0,0,Matches
477,Djibril Sidibé,fr FRA,"MF,DF",Toulouse,33-265,1992,23.5,3,8,5,62.5,0.34,0.21,0.25,0.4,1,2,Matches
478,Francisco Sierralta,cl CHI,DF,Auxerre,28-349,1997,9.6,1,7,2,28.6,0.73,0.21,0.14,0.5,0,0,Matches
479,Mathys Silestrie,fr FRA,GK,Rennes,20-216,2005,1,0,0,0,,0,0,,,0,0,Matches
480,Caio Henrique Oliveira Silva,br BRA,"DF,MF",Monaco,28-263,1997,17,0,2,0,0,0.12,0,0,,0,0,Matches
481,Abdallah Sima,sn SEN,MF,Lens,24-307,2001,5,1,12,4,33.3,2.41,0.8,0.08,0.25,0,0,Matches
482,Moses Simon,ng NGA,"MF,FW",Paris FC,30-282,1995,19.7,3,29,10,34.5,1.47,0.51,0.1,0.3,0,0,Matches
483,Dan Sinaté,fr FRA,DF,Angers,19-315,2006,0.4,0,1,0,0,2.73,0,0,,0,0,Matches
484,Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,26-133,1999,27,8,80,32,40,2.97,1.19,0.06,0.16,3,4,Matches
485,Ibrahima Sissoko,ml MLI,"MF,DF",Nantes,28-175,1997,5.1,0,3,0,0,0.59,0,0,,0,0,Matches
486,Telli Siwe,fr FRA,DF,Auxerre,21-127,2004,2.5,0,1,0,0,0.4,0,0,,0,0,Matches
487,Florian Sotoca,fr FRA,MF,Lens,35-177,1990,3.5,0,12,0,0,3.43,0,0,,0,0,Matches
488,Sambou Soumano,sn SEN,FW,Lorient,25-107,2001,10.2,4,28,10,35.7,2.73,0.98,0.14,0.4,0,1,Matches
489,Issa Soumaré,sn SEN,"FW,MF",Le Havre,25-192,2000,28.8,6,70,24,34.3,2.43,0.83,0.07,0.21,1,3,Matches
490,Benjamin Stambouli,fr FRA,MF,Metz,35-250,1990,8.4,0,5,1,20,0.6,0.12,0,0,0,0,Matches
491,Pavel Šulc,cz CZE,"FW,MF",Lyon,25-112,2000,15.5,11,41,16,39,2.64,1.03,0.27,0.69,0,0,Matches
492,Lamine Sy,mr MTN,DF,Auxerre,23-253,2002,13.9,0,9,1,11.1,0.65,0.07,0,0,0,0,Matches
493,Abakar Sylla,ci CIV,DF,Strasbourg,23-116,2002,0,0,0,0,,0,0,,,0,0,Matches
494,Abakar Sylla,ci CIV,DF,Nantes,23-116,2002,0.7,0,2,0,0,2.77,0,0,,0,0,Matches
495,Fodé Sylla,fr FRA,MF,Lens,20-004,2006,0.8,0,0,0,,0,0,,,0,0,Matches
496,Sebastian Szymański,pl POL,MF,Rennes,26-345,1999,6.4,1,10,4,40,1.57,0.63,0.1,0.25,0,0,Matches
497,Musa Al-Taamari,jo JOR,"MF,FW",Rennes,28-314,1997,20.9,5,54,21,38.9,2.58,1,0.09,0.24,0,0,Matches
498,Nicolás Tagliafico,ar ARG,DF,Lyon,33-232,1992,14.4,0,15,1,6.7,1.04,0.07,0,0,0,0,Matches
499,Montassar Talbi,tn TUN,DF,Lorient,27-329,1998,26,0,11,2,18.2,0.42,0.08,0,0,0,0,Matches
500,Tylel Tati,fr FRA,DF,Nantes,18-091,2008,19.1,0,3,0,0,0.16,0,0,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
501,Tanner Tessmann,us USA,MF,Lyon,24-208,2001,21.1,1,26,8,30.8,1.23,0.38,0.04,0.13,0,0,Matches
502,Jordan Teze,nl NED,"MF,DF",Monaco,26-202,1999,24,0,12,3,25,0.5,0.12,0,0,0,0,Matches
503,Florian Thauvin,fr FRA,MF,Lens,33-084,1993,24.8,9,68,25,36.8,2.75,1.01,0.1,0.28,2,3,Matches
504,Adrien Thomasson,fr FRA,MF,Lens,32-131,1993,26.5,3,38,12,31.6,1.44,0.45,0.08,0.25,0,0,Matches
505,Cheikh Tidiane Sabaly,sn SEN,"MF,FW",Metz,27-047,1999,10.7,0,8,4,50,0.74,0.37,0,0,0,0,Matches
506,Quinten Timber,nl NED,MF,Marseille,24-307,2001,9.8,0,10,2,20,1.02,0.2,0,0,0,0,Matches
507,Corentin Tolisso,fr FRA,MF,Lyon,31-260,1994,22.2,8,45,23,51.1,2.03,1.04,0.16,0.3,1,2,Matches
508,Abdoulaye Touré,gn GUI,MF,Le Havre,32-048,1994,8.2,2,13,4,30.8,1.58,0.49,0.15,0.5,0,1,Matches
509,Alpha Touré,sn SEN,MF,Metz,20-085,2006,16.4,0,16,1,6.3,0.97,0.06,0,0,0,0,Matches
510,Ousmane Toure,fr FRA,DF,Lille,21-061,2005,0.6,0,0,0,,0,0,,,0,0,Matches
511,Lucas Tousart,fr FRA,MF,Brest,28-356,1997,5.9,0,6,2,33.3,1.02,0.34,0,0,0,0,Matches
512,Boubacar Traoré,ml MLI,MF,Metz,24-243,2001,15.1,1,18,3,16.7,1.19,0.2,0.06,0.33,0,0,Matches
513,Hamari Traoré,ml MLI,DF,Paris FC,34-083,1992,10.9,0,4,0,0,0.37,0,0,,0,0,Matches
514,Kevin Trapp,de GER,GK,Paris FC,35-286,1990,18,0,0,0,,0,0,,,0,0,Matches
515,Heorhii Tsitaishvili,ge GEO,MF,Metz,25-153,2000,24.2,3,28,8,28.6,1.16,0.33,0.11,0.38,0,0,Matches
516,Matthieu Udol,fr FRA,"MF,DF",Lens,30-031,1996,28.9,1,42,15,35.7,1.46,0.52,0.02,0.07,0,0,Matches
517,Vanderson,br BRA,"DF,MF",Monaco,24-303,2001,6.8,0,3,0,0,0.44,0,0,,0,0,Matches
518,Charles Vanhoutte,be BEL,MF,Nice,27-216,1998,19.2,0,4,1,25,0.21,0.05,0,0,0,0,Matches
519,Robinio Vaz,fr FRA,FW,Marseille,19-062,2007,4.2,4,8,6,75,1.9,1.42,0.5,0.67,0,0,Matches
520,Calvin Verdonk,id IDN,DF,Lille,28-359,1997,8.1,0,2,0,0,0.25,0,0,,0,0,Matches
521,Arthur Vermeeren,be BEL,MF,Marseille,21-072,2005,7.3,0,2,0,0,0.27,0,0,,0,0,Matches
522,Julián Vignolo,ar ARG,MF,Toulouse,19-134,2006,2.2,2,8,7,87.5,3.71,3.25,0.25,0.29,0,0,Matches
523,Vitinha,pt POR,MF,Paris Saint-Germain,26-066,2000,22.3,1,32,10,31.3,1.43,0.45,0.03,0.1,0,0,Matches
524,Alexis Vossah,fr FRA,MF,Toulouse,18-040,2008,9.7,1,8,2,25,0.82,0.21,0.13,0.5,0,0,Matches
