Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
569,Jairo Torres,mx MEX,MF,FC Juárez,23,2000,3.3,0,6,0,0,1.8,0,0,,0,0,Matches
570,Jonathan Torres,ar ARG,FW,Querétaro,26,1996,0.1,0,0,0,,0,0,,,0,0,Matches
571,Christopher Trejo,mx MEX,FW,Atlas,23,1999,4.5,0,14,5,35.7,3.11,1.11,0,0,0,0,Matches
572,Santiago Trigos,mx MEX,MF,UNAM,21,2002,6.3,0,7,4,57.1,1.11,0.63,0,0,0,0,Matches
573,Ezequiel Unsain,ar ARG,GK,Necaxa,28,1995,24.5,0,0,0,,0,0,,,0,0,Matches
574,Héctor Uribe,mx MEX,MF,León,19,2004,1.6,0,2,1,50,1.29,0.64,0,0,0,0,Matches
575,Diego Urtiaga,mx MEX,GK,Atlético San Luis,24,1998,10,0,1,0,0,0.1,0,0,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
576,Agustín Urzi,ar ARG,MF,FC Juárez,23,2000,3.8,1,10,6,60,2.62,1.57,0.1,0.17,0,0,Matches
577,Óscar Ustari,ar ARG,GK,Pachuca,37,1986,3,0,0,0,,0,0,,,0,0,Matches
578,Yostin Valadez,mx MEX,FW,Mazatlán,21,2001,0,0,0,0,,0,0,,,0,0,Matches
579,Diego Valdés,cl CHI,MF,América,29,1994,19.3,11,66,25,37.9,3.43,1.3,0.17,0.44,0,0,Matches
580,Carlos Valenzuela,ar ARG,MF,Tijuana,26,1997,0.4,0,0,0,,0,0,,,0,0,Matches
581,Diego Valoyes,co COL,MF,FC Juárez,26,1996,2.4,1,5,1,20,2.05,0.41,0.2,1,0,0,Matches
582,Camilo Vargas,co COL,GK,Atlas,34,1989,34,0,0,0,,0,0,,,0,0,Matches
583,Brandon Vazquez,us USA,FW,Monterrey,24,1998,8.3,6,19,13,68.4,2.29,1.56,0.32,0.46,0,0,Matches
584,Brayton Vázquez,mx MEX,DF,Querétaro,25,1998,0.4,0,0,0,,0,0,,,0,0,Matches
585,Daniel Vázquez,mx MEX,FW,Tijuana,20,2003,0.8,0,1,1,100,1.3,1.3,0,0,0,0,Matches
586,Ivo Vázquez,mx MEX,DF,Puebla,22,2000,1.6,0,0,0,,0,0,,,0,0,Matches
587,Mateo Vázquez,mx MEX,DF,UNAM,20,2003,1.4,0,0,0,,0,0,,,0,0,Matches
588,Alexis Vega,mx MEX,"FW,MF",Toluca,25,1997,10.9,6,25,11,44,2.3,1.01,0.24,0.55,0,0,Matches
589,Alexis Vega,mx MEX,"MF,FW",Guadalajara,25,1997,4.3,1,13,7,53.8,3.05,1.64,0.08,0.14,0,1,Matches
590,Jesús Vega,mx MEX,DF,Tijuana,23,2000,4.2,0,6,2,33.3,1.44,0.48,0,0,0,0,Matches
591,Luis Vega,mx MEX,MF,Santos Laguna,19,2004,0,0,0,0,,0,0,,,0,0,Matches
592,Sebastián Vegas,cl CHI,DF,Monterrey,26,1996,23.9,1,23,4,17.4,0.96,0.17,0.04,0.25,0,0,Matches
593,Kevin Velasco,co COL,MF,Puebla,26,1997,26.1,2,48,20,41.7,1.84,0.76,0.04,0.1,0,0,Matches
594,Jesús Venegas,mx MEX,MF,FC Juárez,28,1995,7.3,1,6,2,33.3,0.83,0.28,0.17,0.5,0,0,Matches
595,Jesús Venegas,mx MEX,"MF,DF",Toluca,28,1995,6.7,0,1,0,0,0.15,0,0,,0,0,Matches
596,Duván Vergara,co COL,MF,Santos Laguna,26,1996,14.3,2,32,11,34.4,2.23,0.77,0.06,0.18,0,0,Matches
597,Néstor Vidrio,mx MEX,DF,Mazatlán,34,1989,3.2,0,0,0,,0,0,,,0,0,Matches
598,Oscar Villa,mx MEX,MF,León,22,2001,0.5,0,0,0,,0,0,,,0,0,Matches
599,Patrick Villa,mx MEX,DF,Puebla,19,2003,0.7,0,0,0,,0,0,,,0,0,Matches
600,Jonatan Villal,us USA,MF,Atlético San Luis,18,2005,1.4,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
