Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
436,Nacho Pérez,es ESP,DF,Levante,17-231,2008,0.9,0,0,0,,0,0,,,0,0,Matches
437,Léo Pétrot,fr FRA,DF,Elche,29-005,1997,15.9,0,8,0,0,0.5,0,0,,0,0,Matches
438,Charles Pickel,cd COD,MF,Espanyol,28-340,1997,6.3,1,8,3,37.5,1.28,0.48,0.13,0.33,0,0,Matches
439,Thiago Pinar,es ESP,MF,Real Madrid,18-260,2007,3.2,0,3,1,33.3,0.94,0.31,0,0,0,0,Matches
440,Lander Pinillos,es ESP,MF,Alavés,22-196,2003,0,0,0,0,,0,0,,,0,0,Matches
441,Yeremi Pino,es ESP,MF,Villarreal,23-182,2002,1.8,0,2,1,50,1.13,0.57,0,0,0,0,Matches
442,Portu,es ESP,"FW,MF",Girona,33-334,1992,5.3,0,9,5,55.6,1.71,0.95,0,0,0,0,Matches
443,Beñat Prados,es ESP,MF,Athletic Club,25-071,2001,0.9,0,1,0,0,1.06,0,0,,0,0,Matches
444,Abdón Prats,es ESP,FW,Mallorca,33-134,1992,1.1,0,4,1,25,3.5,0.87,0,0,0,0,Matches
445,Javi Puado,es ESP,"MF,FW",Espanyol,27-330,1998,7.5,2,15,9,60,2,1.2,0.07,0.11,1,2,Matches
446,Marc Pubill,es ESP,DF,Atlético Madrid,22-304,2003,10.3,0,8,2,25,0.77,0.19,0,0,0,0,Matches
447,Dani Raba,es ESP,FW,Valencia,30-173,1995,2.9,0,7,1,14.3,2.41,0.34,0,0,0,0,Matches
448,Ionuț Radu,ro ROU,GK,Celta Vigo,28-327,1997,31,0,0,0,,0,0,,,0,0,Matches
449,Ugo Raghouber,fr FRA,MF,Levante,22-281,2003,5.8,0,2,0,0,0.35,0,0,,0,0,Matches
450,Antonio Raillo,es ESP,DF,Mallorca,34-194,1991,22.6,0,12,1,8.3,0.53,0.04,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
451,Largie Ramazani,be BEL,"MF,FW",Valencia,25-052,2001,9.8,5,36,16,44.4,3.67,1.63,0.06,0.13,3,3,Matches
452,Raphinha,br BRA,"MF,FW",Barcelona,29-127,1996,14.3,11,58,19,32.8,4.04,1.32,0.14,0.42,3,3,Matches
453,Marcus Rashford,eng ENG,"MF,FW",Barcelona,28-171,1997,16,6,69,26,37.7,4.31,1.62,0.09,0.23,0,0,Matches
454,Giacomo Raspadori,it ITA,FW,Atlético Madrid,26-061,2000,2.6,0,7,3,42.9,2.67,1.14,0,0,0,0,Matches
455,Andrei Ratiu,ro ROU,DF,Rayo Vallecano,27-304,1998,26.7,0,26,8,30.8,0.97,0.3,0,0,0,0,Matches
456,Raúl,es ESP,FW,Osasuna,25-168,2000,9,5,28,17,60.7,3.11,1.89,0.18,0.29,0,0,Matches
457,Abde Rebbach,dz ALG,"MF,DF",Alavés,27-252,1998,11.1,1,28,9,32.1,2.51,0.81,0.04,0.11,0,0,Matches
458,Federico Redondo,ar ARG,MF,Elche,23-092,2003,2,0,1,0,0,0.5,0,0,,0,0,Matches
459,Alejandro Rego,es ESP,MF,Athletic Club,22-313,2003,9.6,1,11,3,27.3,1.15,0.31,0.09,0.33,0,0,Matches
460,Alberto Reina,es ESP,MF,Oviedo,28-223,1997,20.6,4,17,8,47.1,0.83,0.39,0.24,0.5,0,0,Matches
461,Vitor Reis,br BRA,DF,Girona,20-098,2006,27.9,1,14,2,14.3,0.5,0.07,0.07,0.5,0,0,Matches
462,Álex Remiro,es ESP,GK,Real Sociedad,31-027,1995,31,0,0,0,,0,0,,,0,0,Matches
463,Oriol Rey,es ESP,MF,Levante,28-054,1998,13.2,0,6,1,16.7,0.46,0.08,0,0,0,0,Matches
464,Diego Rico,es ESP,DF,Getafe,33-056,1993,18.9,0,11,1,9.1,0.58,0.05,0,0,0,0,Matches
465,Clemens Riedel,de GER,DF,Espanyol,22-275,2003,13.4,0,3,1,33.3,0.22,0.07,0,0,0,0,Matches
466,Hugo Rincón,es ESP,DF,Girona,23-083,2003,18.3,1,7,2,28.6,0.38,0.11,0.14,0.5,0,0,Matches
467,Luis Rioja,es ESP,MF,Valencia,32-186,1993,23.4,2,36,4,11.1,1.54,0.17,0.06,0.5,0,0,Matches
468,Rodrigo Riquelme,es ESP,MF,Real Betis,26-018,2000,7.7,0,19,5,26.3,2.46,0.65,0,0,0,0,Matches
469,Mihailo Ristić,rs SRB,"MF,DF",Celta Vigo,30-171,1995,2.8,0,1,0,0,0.36,0,0,,0,0,Matches
470,Joel Roca,es ESP,MF,Girona,20-317,2005,11.6,2,34,11,32.4,2.94,0.95,0.06,0.18,0,0,Matches
471,Marc Roca,es ESP,MF,Real Betis,29-145,1996,18.6,0,12,4,33.3,0.65,0.22,0,0,0,0,Matches
472,Álvaro Rodríguez,uy URU,FW,Elche,21-280,2004,19.1,5,58,18,31,3.03,0.94,0.09,0.28,0,0,Matches
473,Damián Rodríguez,es ESP,MF,Celta Vigo,23-034,2003,1.7,0,3,0,0,1.8,0,0,,0,0,Matches
