Standard,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
791,Alexander Sørloth,no NOR,FW,es Atlético Madrid,30-136,1995,6.6,6,29,15,51.7,4.42,2.29,0.21,0.4,0,0,Matches
792,Jonathan Tah,de GER,DF,de Bayern Munich,30-068,1996,10.7,1,2,1,50,0.19,0.09,0.5,1,0,0,Matches
793,Erkin Tapalov,kz KAZ,"DF,MF",kz FC Kairat,32-229,1993,5.7,0,1,0,0,0.18,0,0,,0,0,Matches
794,Axel Tapé,fr FRA,MF,de Leverkusen,18-253,2007,0.5,0,0,0,,0,0,,,0,0,Matches
795,Edmond Tapsoba,bf BFA,DF,de Leverkusen,27-077,1999,9,0,4,1,25,0.44,0.11,0,0,0,0,Matches
796,Mehdi Taremi,ir IRN,"MF,FW",gr Olympiacos,33-276,1992,5.4,2,11,3,27.3,2.03,0.55,0.18,0.67,0,0,Matches
797,Kenneth Taylor,nl NED,MF,nl Ajax,23-339,2002,2.9,0,4,1,25,1.4,0.35,0,0,0,0,Matches
798,Aurélien Tchouaméni,fr FRA,MF,es Real Madrid,26-083,2000,12.5,1,16,5,31.3,1.28,0.4,0.06,0.2,0,0,Matches
799,Mathys Tel,fr FRA,"MF,FW",eng Tottenham Hotspur,20-358,2005,1.8,0,8,8,100,4.56,4.56,0,0,0,0,Matches
800,Nathan Tella,ng NGA,"FW,MF",de Leverkusen,26-289,1999,0.3,0,2,2,100,6.43,6.43,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
801,Arnau Tenas,es ESP,GK,es Villarreal,24-325,2001,3,0,0,0,,0,0,,,0,0,Matches
802,Martin Terrier,fr FRA,MF,de Leverkusen,29-047,1997,1.7,0,1,1,100,0.58,0.58,0,0,0,0,Matches
803,Jordan Teze,nl NED,"MF,DF",fr Monaco,26-202,1999,7.5,3,10,6,60,1.33,0.8,0.3,0.5,0,0,Matches
804,Arthur Theate,be BEL,DF,de Eintracht Frankfurt,25-330,2000,8,0,3,1,33.3,0.37,0.12,0,0,0,0,Matches
805,Malick Thiaw,de GER,DF,eng Newcastle United,24-255,2001,10.3,1,7,3,42.9,0.68,0.29,0.14,0.33,0,0,Matches
806,Khéphren Thuram,fr FRA,MF,it Juventus,25-025,2001,6.6,1,9,3,33.3,1.37,0.46,0.11,0.33,0,0,Matches
807,Marcus Thuram,fr FRA,FW,it Inter,28-257,1997,6.4,2,30,6,20,4.68,0.94,0.07,0.33,0,0,Matches
808,Guus Til,nl NED,"FW,MF",nl PSV,28-119,1997,6.4,2,7,3,42.9,1.09,0.47,0.29,0.67,0,0,Matches
809,Malik Tillman,us USA,MF,de Leverkusen,23-327,2002,5.9,2,8,3,37.5,1.35,0.5,0.25,0.67,0,0,Matches
810,Jurriën Timber,nl NED,DF,eng Arsenal,24-307,2001,5.7,1,4,2,50,0.71,0.35,0.25,0.5,0,0,Matches
811,Sandro Tonali,it ITA,MF,eng Newcastle United,25-347,2000,10.6,1,13,6,46.2,1.23,0.57,0.08,0.17,0,0,Matches
